"","id.sample_local_c","oc_usda.c729_w.pct","c.tot_usda.a622_w.pct","n.tot_usda.a623_w.pct","s.tot_usda.a624_w.pct","ph.h2o_usda.a268_index","bd_usda.a4_g.cm3","clay.tot_usda.a334_w.pct","silt.tot_usda.c62_w.pct","sand.tot_usda.c60_w.pct","caco3_usda.a54_w.pct","efferv_usda.a479_class","cec_usda.a723_cmolc.kg","ca.ext_usda.a722_cmolc.kg","mg.ext_usda.a724_cmolc.kg","k.ext_usda.a725_cmolc.kg","na.ext_usda.a726_cmolc.kg","wr.33kPa_usda.a415_w.pct","wr.1500kPa_usda.a417_w.pct","al.dith_usda.a65_w.pct","p.ext_usda.a652_mg.kg","p.ext_usda.a1070_mg.kg","k.ext_usda.a1065_mg.kg","ec_usda.a364_ds.m"
"1459","168230",4.24,4.24432,0.38828,0.02266,6.24,NA,17.20449,43.2,39.6,NA,"none",19.1548,18.3067,1.7489,0.84038,0,28.61561,15.49246,0.30735,130.06874,NA,NA,NA
"1460","168231",2.75,2.74651,0.25938,0.00308,5.82,NA,17.59515,42,40.4,NA,"none",14.99448,11.19957,1.03962,0.59069,0,23.74949,12.01608,0.32113,130.46871,NA,NA,NA
"1461","168236",2.16,2.15564,0.22734,0.00717,5.72,NA,16.37093,45.6,38,NA,"none",12.84915,7.46231,1.22447,0.7393,0,25.51766,10.85434,0.42251,377.84891,NA,NA,NA
"1462","168237",2.27,2.27402,0.18873,0,5.35,NA,16.94137,46.6,36.5,NA,"none",13.01101,5.09778,0.72825,0.40964,0,26.48845,11.71036,0.43124,185.64455,NA,NA,NA
"1463","168240",0.18,0.18275,0.06904,0,5.51,NA,20.13692,41.9,38,NA,"none",6.78685,5.04764,1.08328,0.13829,0,18.44078,9.14236,0.13647,NA,NA,NA,NA
"1464","168242",2.37,2.36706,0.21211,0.00205,5.07,NA,18.23928,45.7,36.1,NA,"none",15.14882,5.67853,1.3794,0.78166,0,27.14712,11.90305,0.4267,456.31561,NA,NA,NA
"1465","168249",4.8704,4.87794,0.38916,0.0207,5.04,NA,23.12681,50.1,26.8,0.07672,"very slight",21.68127,12.43078,1.7389,0.25849,0,36.23929,18.44944,0.43742,40.97296,NA,NA,NA
"1466","168253",3.27,3.27379,0.30227,0.00717,5.5,NA,16.57663,36.7,46.7,NA,"none",16.08672,14.01843,1.09668,0.5882,0,27.33518,12.80788,0.2095,63.5281,NA,NA,NA
"1467","168257",1.8156,1.833,0.18207,0.00818,6.54,NA,16.10167,47.8,36.1,0.12429,"very slight",13.19762,11.22261,1.30658,0.5833,0,26.29633,11.08838,0.39898,535.157,NA,NA,NA
"1468","168258",1.73,1.73414,0.14323,0.00921,5.88,NA,15.85453,47.7,36.4,NA,"none",12.30055,8.25854,1.13222,0.39961,0,25.6257,11.28867,0.38386,468.56408,NA,NA,NA
"1469","168261",1.7132,1.69595,0.15334,0.00204,5.71,NA,15.78457,46,38.2,-0.11349,"none",12.37561,7.55248,0.94702,0.58379,0,24.86009,10.83782,0.39241,521.93105,NA,NA,NA
"1470","168265",1.58,1.58322,0.1623,0.00306,5.87,NA,15.75975,43.6,40.6,NA,"none",11.26965,7.64336,0.95212,0.55187,0,21.58913,11.22637,0.31353,439.21684,NA,NA,NA
"1471","168266",1.68,1.67602,0.17056,0.02145,5.73,NA,15.46861,43.9,40.6,NA,"none",12.57108,6.23633,1.26155,0.54746,0,23.46843,11.08366,0.34852,357.91842,NA,NA,NA
"1472","168271",2.4932,2.51102,0.20421,0.00616,6.13,NA,13.47538,43.9,42.6,0.14484,"very slight",14.04675,8.08075,2.41712,0.54504,0,25.6925,11.72814,0.49369,183.20225,NA,NA,NA
"1473","168276",2.176,2.20212,0.2432,0.00308,5.36,NA,14.34056,44.1,41.6,0.20164,"slight",14.63527,6.72082,1.29155,0.43051,0,29.78811,8.85184,0.47185,595.03529,NA,NA,NA
"1474","168280",2.1132,2.13222,0.17573,0.0092,5.26,NA,12.6066,54.1,33.3,0.14003,"very slight",11.1599,4.21781,0.97872,0.8389,0,28.12436,7.31505,0.37757,328.07535,NA,NA,NA
"1475","168281",1.8016,1.81243,0.18369,0.00816,5.52,NA,11.79169,52.9,35.3,0.07159,"very slight",10.29686,3.54676,0.67772,0.40663,0,28.58119,6.98995,0.36731,253.35125,NA,NA,NA
"1476","168282",0.3152,0.32151,0.03729,0.00101,5.52,NA,9.29016,53.6,37.1,0.04296,"very slight",3.33225,0.5188,0.06767,0,0,20.89905,3.4375,0.15589,68.39072,NA,NA,NA
"1477","168285",2.6968,2.71146,0.26174,0.00613,4.55,NA,12.00019,44.4,43.6,0.11208,"very slight",12.24444,3.59751,0.98114,0.30369,0,27.40866,8.13839,0.31036,184.04401,NA,NA,NA
"1478","168290",2.6328,2.6403,0.21386,0.00823,5.12,NA,14.56576,49.2,36.2,0.06407,"very slight",15.72032,5.71107,0.6187,0.14278,0,28.84828,8.90577,0.47815,258.78433,NA,NA,NA
"1479","168293",7,7.00284,0.35662,0.01762,5.89,NA,20.80035,67.3,11.9,NA,"none",24.34726,24.13304,1.11234,0.16927,0,58.85827,16.43316,0.25242,6.80068,NA,NA,NA
"1480","168295",0.2144,1.27684,0.06948,0,8.15,NA,10.79674,47.7,41.5,8.87942,"strong",2.22836,41.94572,0.45568,0.02278,0,24.21531,4.43656,0.10604,0.16118,NA,NA,NA
